"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"19","Job Opportunity: MDS Coordinator with a Subacute/Skilled Nursing Facility . Are you a fit? in Brooklyn, NY https://t.co/ZbjoKRBI1Q #MDS",FALSE,0,NA,2016-10-14 20:25:46,FALSE,NA,"787026633773441024",NA,"<a href=""http://www.bullhornreach.com/"" rel=""nofollow"">Bullhorn Reach</a>","DNGPlacement",0,FALSE,FALSE,NA,NA
"20","I learned a lot.... 
  Praying for you #Fam ! 
 #AA #MDS https://t.co/w5mZdRlGNc",FALSE,0,NA,2016-10-14 19:51:50,FALSE,NA,"787018093369360384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FarealDoe",0,FALSE,FALSE,NA,NA
"21","RT @ASH_hematology: Register for this free summit: learn how to treat patients w/ #MDS in Austin this year https://t.co/qX2tMRT8CB #MDSDx",FALSE,0,NA,2016-10-14 19:47:20,FALSE,NA,"787016960592715780",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","joshyoburn",1,TRUE,FALSE,NA,NA
"22","Register for this free summit: learn how to treat patients w/ #MDS in Austin this year https://t.co/qX2tMRT8CB #MDSDx",FALSE,0,NA,2016-10-14 19:43:00,FALSE,NA,"787015873194254337",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","ASH_hematology",1,FALSE,FALSE,NA,NA
"23","RT @Harmonyhlthcare: Looking to Learn More about #MDS #SectionGG? Join us for two-days of interdisciplinary training.  https://t.co/YJBgEua…",FALSE,0,NA,2016-10-14 19:10:03,FALSE,NA,"787007581067874309",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DonnaLFournier",1,TRUE,FALSE,NA,NA
"24","MDS PARTEEEE 2016
#mds #marksdanceschool
#party #fun #happy #water #slide https://t.co/eVCKhldsw0",FALSE,0,NA,2016-10-14 18:25:47,FALSE,NA,"786996440111341568",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","MarkTadford",0,FALSE,FALSE,NA,NA
"25","Amigos, les dejo las actividades para este sábado en el marco de La Feria del Alfeñique ¡Están increíbles! #MDS https://t.co/o6ey4KmI9I",FALSE,0,NA,2016-10-14 18:18:39,FALSE,NA,"786994646291329024",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","mariands2805",0,FALSE,FALSE,NA,NA
"26","#Hiring for Windows Mobile Architect Professionals #TechJobs #symbian #blackberry #mds #bes #career | Apply Now https://t.co/SX4U0N1WJr",FALSE,0,NA,2016-10-14 18:09:51,FALSE,NA,"786992431048732672",NA,"<a href=""http://www.headhonchos.com"" rel=""nofollow"">hh_technology</a>","HH_Technology",0,FALSE,FALSE,NA,NA
"27","#Hiring for Windows Mobile Architect Professionals #TechJobs #symbian #blackberry #mds #bes #career | Apply Now https://t.co/W84bHqgbXj",FALSE,0,NA,2016-10-14 18:09:50,FALSE,NA,"786992426137243648",NA,"<a href=""http://www.headhonchos.com"" rel=""nofollow"">hh_technology</a>","HH_Technology",0,FALSE,FALSE,NA,NA
"28","#SS10 J'ai pas compris pourquoi mettre une piscine dans la #MDS ici il fait -15 c'est une banquise qui fallait installé",FALSE,2,NA,2016-10-14 18:04:12,FALSE,NA,"786991007955116032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BlLkZFOolLk",0,FALSE,FALSE,NA,NA
"29","Looking to Learn More about #MDS #SectionGG? Join us for two-days of interdisciplinary training.… https://t.co/Em6AE2EqG9",FALSE,1,NA,2016-10-14 17:15:28,TRUE,NA,"786978742887481348",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","Harmonyhlthcare",1,FALSE,FALSE,NA,NA
"30","RT @bassaddict_nob: <U+51FD><U+9928><U+306F><U+672C><U+5F53><U+500B><U+6027><U+7684><U+306A><U+30A2><U+30FC><U+30C6><U+30A3><U+30B9><U+30C8><U+3092><U+547C><U+3093><U+3067><U+9762><U+767D><U+3044><U+3053><U+3068><U+3092><U+4ED5><U+639B><U+3051><U+3066><U+304F><U+308B><U+3002>

<U+30AA><U+30D6><U+30EA><U+306F><U+751F><U+3067><U+4F53><U+611F><U+3057><U+305F><U+3044><U+30A2><U+30FC><U+30C6><U+30A3><U+30B9><U+30C8><U+3002>

<U+884C><U+3051><U+308B><U+4EBA><U+306F><U+884C><U+3063><U+305F><U+65B9><U+304C><U+3044><U+3044>!!

#MDS https://t.co/PgxzoEHtQb",FALSE,0,NA,2016-10-14 17:00:42,FALSE,NA,"786975029481189376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kage_tora1",2,TRUE,FALSE,NA,NA
"31","RT @SHORT_ARROW_MDS: <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B0><U+00BF>RT @bassaddict_nob: <U+51FD><U+9928><U+306F><U+672C><U+5F53><U+500B><U+6027><U+7684><U+306A><U+30A2><U+30FC><U+30C6><U+30A3><U+30B9><U+30C8><U+3092><U+547C><U+3093><U+3067><U+9762><U+767D><U+3044><U+3053><U+3068><U+3092><U+4ED5><U+639B><U+3051><U+3066><U+304F><U+308B><U+3002>

<U+30AA><U+30D6><U+30EA><U+306F><U+751F><U+3067><U+4F53><U+611F><U+3057><U+305F><U+3044><U+30A2><U+30FC><U+30C6><U+30A3><U+30B9><U+30C8><U+3002>

<U+884C><U+3051><U+308B><U+4EBA><U+306F><U+884C><U+3063><U+305F><U+65B9><U+304C><U+3044><U+3044>!!

#MDS https://t.co/f5pYxN…",FALSE,0,NA,2016-10-14 17:00:38,FALSE,NA,"786975010057355264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kage_tora1",1,TRUE,FALSE,NA,NA
"32","It almost 3 months . I'm still missing u sygg.  Al fatihah <ed><U+00A0><U+00BD><ed><U+00B8><U+00A2>
#mds",FALSE,0,NA,2016-10-14 16:30:52,FALSE,NA,"786967518757789697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NanaQhaireen",0,FALSE,FALSE,NA,NA
"33","RT @becca_dannielle: EYES UP, DO THE WORK!  
#vikingvolleyball #teamwayne #MDS #PGleGacy @pg_volleyball https://t.co/6XJSGhF90n",FALSE,0,NA,2016-10-14 16:09:42,FALSE,NA,"786962194516717568",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ebaylestri",6,TRUE,FALSE,NA,NA
"34","#DueSicilieAncoraOggi Programma autogestito a cura di #StellaDelMonte e #MovimentoDuosiciliano #MDS  https://t.co/4TKGxAGjAG",FALSE,1,NA,2016-10-14 15:24:40,FALSE,NA,"786950860450435074",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","filcantieri",0,FALSE,FALSE,NA,NA
"35","RT @bassaddict_nob: <U+51FD><U+9928><U+306F><U+672C><U+5F53><U+500B><U+6027><U+7684><U+306A><U+30A2><U+30FC><U+30C6><U+30A3><U+30B9><U+30C8><U+3092><U+547C><U+3093><U+3067><U+9762><U+767D><U+3044><U+3053><U+3068><U+3092><U+4ED5><U+639B><U+3051><U+3066><U+304F><U+308B><U+3002>

<U+30AA><U+30D6><U+30EA><U+306F><U+751F><U+3067><U+4F53><U+611F><U+3057><U+305F><U+3044><U+30A2><U+30FC><U+30C6><U+30A3><U+30B9><U+30C8><U+3002>

<U+884C><U+3051><U+308B><U+4EBA><U+306F><U+884C><U+3063><U+305F><U+65B9><U+304C><U+3044><U+3044>!!

#MDS https://t.co/PgxzoEHtQb",FALSE,0,NA,2016-10-14 12:49:05,FALSE,NA,"786911706442108928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RYOHEY_MDS",2,TRUE,FALSE,NA,NA
"36","@HCentral_Mza Síndromes mielodisplásicos son más comunes en hombres que mujeres en una proporción de 4.5:2 por 100, 000 habitantes #MDS",FALSE,1,"HCentral_Mza",2016-10-14 12:43:54,FALSE,NA,"786910403032977408","365537134","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","LinfomasAr",1,FALSE,FALSE,NA,NA
"37","7 Essential #Marketing Tools #BusinessOwners &amp; #MDs could be missing out on!
https://t.co/o9evyDPRNn @Glee_birmingham @hortweek @gtnxtra",FALSE,1,NA,2016-10-14 12:20:01,FALSE,NA,"786904389365661696",NA,"<a href=""http://meetedgar.com"" rel=""nofollow"">Meet Edgar</a>","CreativeMark8er",0,FALSE,FALSE,NA,NA
"38","Ganteng.. <ed><U+00A0><U+00BD><ed><U+00B8><U+008E>
#tribudeichihuahua #mds #VR46 https://t.co/IvCv7kJyqf",FALSE,0,NA,2016-10-14 10:52:48,FALSE,NA,"786882443718463488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ISHAL_Ability77",0,FALSE,FALSE,NA,NA
"39","Looping avec son collier Batman :)
Dispo ici &gt;&gt; https://t.co/3Dmhn9q8MJ

#rottweiler #mds #mydoggystore #chien… https://t.co/KsGyK2q9bU",FALSE,0,NA,2016-10-14 09:51:09,TRUE,NA,"786866925653614592",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MyDoggyStore_FR",0,FALSE,FALSE,NA,NA
"40","A cara de quem tá cheia de marra (Anitta)...<ed><U+00A0><U+00BD><ed><U+00B8><U+00B9><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><U+2728> #mds #my #selfie https://t.co/hlzekchy7J",FALSE,0,NA,2016-10-14 09:40:02,FALSE,NA,"786864131639021568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aliceps11",0,FALSE,FALSE,NA,NA
"41","An essential event for anyone interested in the #MarathonDesSables https://t.co/4QNjpC2Bto @RunUltra_UK #MdS",FALSE,0,NA,2016-10-14 09:25:12,FALSE,NA,"786860398490316800",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","profeetcustom",0,FALSE,FALSE,NA,NA
"42","The day after finishing the #MDS that was me. With beer too!<ed><U+00A0><U+00BD><ed><U+00B8><U+0083> https://t.co/Md0nENZ5MF",FALSE,2,NA,2016-10-14 07:47:08,FALSE,NA,"786835718958157824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Marx4capitalism",0,FALSE,FALSE,NA,NA
"43","Three years. Miss you everyday. https://t.co/iVZ6w5FcxO #mds",FALSE,0,NA,2016-10-14 05:30:41,FALSE,NA,"786801378660192257",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","paulsscott",0,FALSE,FALSE,NA,NA
"44","RT @becca_dannielle: EYES UP, DO THE WORK!  
#vikingvolleyball #teamwayne #MDS #PGleGacy @pg_volleyball https://t.co/6XJSGhF90n",FALSE,0,NA,2016-10-14 04:11:11,FALSE,NA,"786781371054239744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kazziee_t",6,TRUE,FALSE,NA,NA
"45","Tanto amor guardado, tanto tempo, a gnt se perdendo atoa por conta de outra pessoa <ed><U+00A0><U+00BC><ed><U+00BE><U+00B6> <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><U+2764>.
 #AmooEla #AmooEssaVoz… https://t.co/HXrWlwoURV",FALSE,0,NA,2016-10-14 04:07:10,TRUE,NA,"786780361749651456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jhenny_Loow",0,FALSE,FALSE,NA,NA
"46","<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B0><U+00BF>RT @bassaddict_nob: <U+51FD><U+9928><U+306F><U+672C><U+5F53><U+500B><U+6027><U+7684><U+306A><U+30A2><U+30FC><U+30C6><U+30A3><U+30B9><U+30C8><U+3092><U+547C><U+3093><U+3067><U+9762><U+767D><U+3044><U+3053><U+3068><U+3092><U+4ED5><U+639B><U+3051><U+3066><U+304F><U+308B><U+3002>

<U+30AA><U+30D6><U+30EA><U+306F><U+751F><U+3067><U+4F53><U+611F><U+3057><U+305F><U+3044><U+30A2><U+30FC><U+30C6><U+30A3><U+30B9><U+30C8><U+3002>

<U+884C><U+3051><U+308B><U+4EBA><U+306F><U+884C><U+3063><U+305F><U+65B9><U+304C><U+3044><U+3044>!!

#MDS https://t.co/f5pYxNvZmk",FALSE,1,NA,2016-10-14 03:45:15,FALSE,NA,"786774844826198016",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","SHORT_ARROW_MDS",1,FALSE,FALSE,NA,NA
"47","RT @Gaaby232: @DiiogoDD o Popona da sua sala<ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> 
#Mds<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,0,NA,2016-10-14 03:05:42,FALSE,NA,"786764893118685184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DiiogoDD",1,TRUE,FALSE,NA,NA
"48","RT @becca_dannielle: EYES UP, DO THE WORK!  
#vikingvolleyball #teamwayne #MDS #PGleGacy @pg_volleyball https://t.co/6XJSGhF90n",FALSE,0,NA,2016-10-14 03:04:56,FALSE,NA,"786764701245935616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PondSammie",6,TRUE,FALSE,NA,NA
"49","RT @becca_dannielle: EYES UP, DO THE WORK!  
#vikingvolleyball #teamwayne #MDS #PGleGacy @pg_volleyball https://t.co/6XJSGhF90n",FALSE,0,NA,2016-10-14 02:54:47,FALSE,NA,"786762144117166080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dallinbunnell",6,TRUE,FALSE,NA,NA
"50","RT @becca_dannielle: EYES UP, DO THE WORK!  
#vikingvolleyball #teamwayne #MDS #PGleGacy @pg_volleyball https://t.co/6XJSGhF90n",FALSE,0,NA,2016-10-14 02:32:04,FALSE,NA,"786756430153920512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vb_laker",6,TRUE,FALSE,NA,NA
"51","RT @becca_dannielle: EYES UP, DO THE WORK!  
#vikingvolleyball #teamwayne #MDS #PGleGacy @pg_volleyball https://t.co/6XJSGhF90n",FALSE,0,NA,2016-10-14 02:31:09,FALSE,NA,"786756198838120449",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","E4Afamily",6,TRUE,FALSE,NA,NA
"52","EYES UP, DO THE WORK!  
#vikingvolleyball #teamwayne #MDS #PGleGacy @pg_volleyball https://t.co/6XJSGhF90n",FALSE,17,NA,2016-10-14 02:14:57,FALSE,NA,"786752119768358912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","becca_dannielle",6,FALSE,FALSE,NA,NA
"53","RT @LinfomasAr: Mayoría de los pacientes (86 %) con #MDS son más de 60 años y menos de 10% de los pacientes son menor de 50 #MIELODISPLASIA…",FALSE,0,NA,2016-10-14 01:24:06,FALSE,NA,"786739326352777216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SolidarioRt",3,TRUE,FALSE,NA,NA
"54","RT @LinfomasAr: #MIELODISPLASIA  https://t.co/gtKju59Vjn #MDS",FALSE,0,NA,2016-10-14 01:23:38,FALSE,NA,"786739207112953856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SolidarioRt",1,TRUE,FALSE,NA,NA
"55","RT @LinfomasAr: Síndromes mielodisplásicos son más comunes en hombres que mujeres en una proporción de 4.5:2 por 100, 000 habitantes #MDS #…",FALSE,0,NA,2016-10-14 01:23:35,FALSE,NA,"786739192718065664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SolidarioRt",1,TRUE,FALSE,NA,NA
"56","<U+51FD><U+9928><U+306F><U+672C><U+5F53><U+500B><U+6027><U+7684><U+306A><U+30A2><U+30FC><U+30C6><U+30A3><U+30B9><U+30C8><U+3092><U+547C><U+3093><U+3067><U+9762><U+767D><U+3044><U+3053><U+3068><U+3092><U+4ED5><U+639B><U+3051><U+3066><U+304F><U+308B><U+3002>

<U+30AA><U+30D6><U+30EA><U+306F><U+751F><U+3067><U+4F53><U+611F><U+3057><U+305F><U+3044><U+30A2><U+30FC><U+30C6><U+30A3><U+30B9><U+30C8><U+3002>

<U+884C><U+3051><U+308B><U+4EBA><U+306F><U+884C><U+3063><U+305F><U+65B9><U+304C><U+3044><U+3044>!!

#MDS https://t.co/PgxzoEHtQb",FALSE,0,NA,2016-10-14 01:05:42,FALSE,NA,"786734694066905088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bassaddict_nob",2,FALSE,FALSE,NA,NA
"57","RT @RYOHEY_MDS: <U+30AA><U+30D6><U+30EA><U+30AC><U+30FC><U+30C9><U+51FD><U+9928><U+3084><U+308A><U+307E><U+3059><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><U+5317><U+6D77><U+9053><U+306F><U+51FD><U+9928><U+306E><U+307F><U+3067><U+3059><U+306E><U+3067><U+8FD1><U+90CA><U+306E><U+65B9><U+3082><U+662F><U+975E>!!<U+6765><U+6708><U+672B>11/26(<U+571F><U+66DC><U+65E5>)@Club Cocoa<U+8A73><U+7D30><U+306F><U+5F8C><U+307B><U+3069><U+30A2><U+30C3><U+30D7><U+3057><U+307E><U+3059>!

#MDS https://t.co/1Cg0VKidM1",FALSE,0,NA,2016-10-14 00:44:55,FALSE,NA,"786729464185053185",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tomonobu_tanaka",4,TRUE,FALSE,NA,NA
"58","@DiiogoDD o Popona da sua sala<ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> 
#Mds<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,1,"DiiogoDD",2016-10-14 00:39:09,FALSE,"786690038440525824","786728012981100544","3332126092","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gaaby232",1,FALSE,FALSE,NA,NA
"59","Síndromes mielodisplásicos son más comunes en hombres que mujeres en una proporción de 4.5:2 por 100, 000 habitantes #MDS #heretohelpmds",FALSE,3,NA,2016-10-14 00:35:46,FALSE,NA,"786727159540908032",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","LinfomasAr",1,FALSE,FALSE,NA,NA
"60","#MIELODISPLASIA  https://t.co/gtKju59Vjn #MDS",FALSE,1,NA,2016-10-14 00:34:27,FALSE,NA,"786726829835116544",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","LinfomasAr",1,FALSE,FALSE,NA,NA
"61","#Hiring for Windows Mobile Architect Professionals #TechJobs #symbian #blackberry #mds #bes #career | Apply Now https://t.co/skCYFBV24h",FALSE,1,NA,2016-10-14 00:08:07,FALSE,NA,"786720201689604099",NA,"<a href=""http://www.headhonchos.com"" rel=""nofollow"">hh_technology</a>","HH_Technology",0,FALSE,FALSE,NA,NA
"62","#Hiring for Windows Mobile Architect Professionals #TechJobs #symbian #blackberry #mds #bes #career | Apply Now https://t.co/qpH9UPmogB",FALSE,0,NA,2016-10-14 00:08:05,FALSE,NA,"786720194831888384",NA,"<a href=""http://www.headhonchos.com"" rel=""nofollow"">hh_technology</a>","HH_Technology",0,FALSE,FALSE,NA,NA
